# Server / Fusion Coverage Audit
Generated: 2026-09-23
Mode: local runtime foundation audit. Dashboard, matching, workers, and UI copy remain out of scope.

## A. Local Server Registry
| code | displayName | host | numericId | aliases | releaseDate | type | region | active |
| F10 | Fusion 10 | f10.sfgame.net | 484 | f10_fu, f10fu, f10_net, f10net |  | fusion | Fusion | false |
| F11 | Fusion 11 | f11.sfgame.net | 485 | f11_fu, f11fu, f11_net, f11net |  | fusion | Fusion | true |
| F12 | Fusion 12 | f12.sfgame.net | 486 | f12_fu, f12fu, f12_net, f12net |  | fusion | Fusion | false |
| F13 | Fusion 13 | f13.sfgame.net | 487 | f13_fu, f13fu, f13_net, f13net |  | fusion | Fusion | false |
| F14 | Fusion 14 | f14.sfgame.net | 488 | f14_fu, f14fu, f14_net, f14net |  | fusion | Fusion | true |
| F15 | Fusion 15 | f15.sfgame.net | 489 | f15_fu, f15fu, f15_net, f15net |  | fusion | Fusion | false |
| F16 | Fusion 16 | f16.sfgame.net | 490 | f16_fu, f16fu, f16_net, f16net |  | fusion | Fusion | false |
| F17 | Fusion 17 | f17.sfgame.net | 491 | f17_fu, f17fu, f17_net, f17net |  | fusion | Fusion | true |
| F18 | Fusion 18 | f18.sfgame.net | 492 | f18_fu, f18fu, f18_net, f18net |  | fusion | Fusion | false |
| F19 | Fusion 19 | f19.sfgame.net | 493 | f19_fu, f19fu, f19_net, f19net |  | fusion | Fusion | true |
| F20 | Fusion 20 | f20.sfgame.net | 494 | f20_fu, f20fu, f20_net, f20net |  | fusion | Fusion | false |
| F21 | Fusion 21 | f21.sfgame.net | 495 | f21_fu, f21fu, f21_net, f21net |  | fusion | Fusion | true |
| F22 | Fusion 22 | f22.sfgame.net | 500 | f22_fu, f22fu, f22_net, f22net |  | fusion | Fusion | true |
| F23 | Fusion 23 | f23.sfgame.net | 501 | f23_fu, f23fu, f23_net, f23net |  | fusion | Fusion | true |
| F24 | Fusion 24 | f24.sfgame.net | 502 | f24_fu, f24fu, f24_net, f24net |  | fusion | Fusion | true |
| F25 | Fusion 25 | f25.sfgame.net | 529 | f25_fu, f25fu, f25_net, f25net |  | fusion | Fusion | true |
| F26 | Fusion 26 | f26.sfgame.net | 530 | f26_fu, f26fu, f26_net, f26net |  | fusion | Fusion | true |
| F27 | Fusion 27 | f27.sfgame.net | 539 | f27_fu, f27fu, f27_net, f27net |  | fusion | Fusion | true |
| F28 | Fusion 28 | f28.sfgame.net | 549 | f28_fu, f28fu, f28_net, f28net |  | fusion | Fusion | true |
| F29 | Fusion 29 | f29.sfgame.net | 550 | f29_fu, f29fu, f29_net, f29net |  | fusion | Fusion | false |
| FR1 | FR 1 | s1.sfgame.fr | 13 | s1_fr, s1fr |  | origin | FR | false |
| FR2 | FR 2 | s2.sfgame.fr | 17 | s2_fr, s2fr |  | origin | FR | false |
| FR3 | FR 3 | s3.sfgame.fr | 32 | s3_fr, s3fr |  | origin | FR | false |
| FR4 | FR 4 | s4.sfgame.fr | 42 | s4_fr, s4fr |  | origin | FR | false |
| FR5 | FR 5 | s5.sfgame.fr | 62 | s5_fr, s5fr |  | origin | FR | false |
| FR6 | FR 6 | s6.sfgame.fr | 103 | s6_fr, s6fr |  | origin | FR | false |
| FR7 | FR 7 | s7.sfgame.fr | 146 | s7_fr, s7fr |  | origin | FR | false |
| FR8 | FR 8 | s8.sfgame.fr | 218 | s8_fr, s8fr |  | origin | FR | false |
| FR9 | FR 9 | s9.sfgame.fr | 255 | s9_fr, s9fr |  | origin | FR | false |
| FR10 | FR 10 | s10.sfgame.fr | 272 | s10_fr, s10fr |  | origin | FR | false |
| FR11 | FR 11 | s11.sfgame.fr | 283 | s11_fr, s11fr |  | origin | FR | false |
| FR12 | FR 12 | s12.sfgame.fr | 321 | s12_fr, s12fr |  | origin | FR | false |
| FR13 | FR 13 | s13.sfgame.fr | 342 | s13_fr, s13fr |  | origin | FR | false |
| FR14 | FR 14 | s14.sfgame.fr | 416 | s14_fr, s14fr |  | origin | FR | false |
| FR15 | FR 15 | s15.sfgame.fr | 426 | s15_fr, s15fr |  | origin | FR | false |
| GAMONA | GAMONA | gamona.sfgame.de | 5 |  |  | origin | DE | false |
| GNAROGRIM | Gnarogrim | gnarogrim.sfgame.net | 546 | gnarogrim_net, gnarogrimnet, GRANOGRIM, granogrim_net |  | named | Fusion | true |
| GR1 | GR 1 | s1.sfgame.gr | 23 | s1_gr, s1gr |  | origin | GR | false |
| GR2 | GR 2 | s2.sfgame.gr | 55 | s2_gr, s2gr |  | origin | GR | false |
| GR3 | GR 3 | s3.sfgame.gr | 124 | s3_gr, s3gr |  | origin | GR | false |
| GR4 | GR 4 | s4.sfgame.gr | 236 | s4_gr, s4gr |  | origin | GR | false |
| GR5 | GR 5 | s5.sfgame.gr | 265 | s5_gr, s5gr |  | origin | GR | false |
| GR6 | GR 6 | s6.sfgame.gr | 290 | s6_gr, s6gr |  | origin | GR | false |
| HU1 | HU 1 | s1.sfgame.hu | 27 | s1_hu, s1hu |  | origin | HU | false |
| HU2 | HU 2 | s2.sfgame.hu | 40 | s2_hu, s2hu |  | origin | HU | false |
| HU3 | HU 3 | s3.sfgame.hu | 49 | s3_hu, s3hu |  | origin | HU | false |
| HU4 | HU 4 | s4.sfgame.hu | 64 | s4_hu, s4hu |  | origin | HU | false |
| HU5 | HU 5 | s5.sfgame.hu | 105 | s5_hu, s5hu |  | origin | HU | false |
| HU6 | HU 6 | s6.sfgame.hu | 150 | s6_hu, s6hu |  | origin | HU | false |
| HU7 | HU 7 | s7.sfgame.hu | 214 | s7_hu, s7hu |  | origin | HU | false |
| HU8 | HU 8 | s8.sfgame.hu | 244 | s8_hu, s8hu |  | origin | HU | false |
| HU9 | HU 9 | s9.sfgame.hu | 268 | s9_hu, s9hu |  | origin | HU | false |
| HU10 | HU 10 | s10.sfgame.hu | 278 | s10_hu, s10hu |  | origin | HU | false |
| HU11 | HU 11 | s11.sfgame.hu | 294 | s11_hu, s11hu |  | origin | HU | false |
| HU12 | HU 12 | s12.sfgame.hu | 313 | s12_hu, s12hu |  | origin | HU | false |
| HU13 | HU 13 | s13.sfgame.hu | 324 | s13_hu, s13hu |  | origin | HU | false |
| HU14 | HU 14 | s14.sfgame.hu | 341 | s14_hu, s14hu |  | origin | HU | false |
| HU15 | HU 15 | s15.sfgame.hu | 350 | s15_hu, s15hu |  | origin | HU | false |
| HU16 | HU 16 | s16.sfgame.hu | 365 | s16_hu, s16hu |  | origin | HU | false |
| HU17 | HU 17 | s17.sfgame.hu | 407 | s17_hu, s17hu |  | origin | HU | false |
| HU18 | HU 18 | s18.sfgame.hu | 419 | s18_hu, s18hu |  | origin | HU | false |
| HU19 | HU 19 | s19.sfgame.hu | 428 | s19_hu, s19hu |  | origin | HU | false |
| HU20 | HU 20 | s20.sfgame.hu | 444 | s20_hu, s20hu |  | origin | HU | false |
| IN1 | IN 1 | s1.sfgame.in | 195 | s1_in, s1in |  | origin | IN | false |
| INGAME | INGAME | ingame.sfgame.de | 8 |  |  | origin | DE | false |
| IT1 | IT 1 | s1.sfgame.it | 18 | s1_it, s1it |  | origin | IT | false |
| IT2 | IT 2 | s2.sfgame.it | 29 | s2_it, s2it |  | origin | IT | false |
| IT3 | IT 3 | s3.sfgame.it | 54 | s3_it, s3it |  | origin | IT | false |
| IT4 | IT 4 | s4.sfgame.it | 104 | s4_it, s4it |  | origin | IT | false |
| IT5 | IT 5 | s5.sfgame.it | 181 | s5_it, s5it |  | origin | IT | false |
| IT6 | IT 6 | s6.sfgame.it | 257 | s6_it, s6it |  | origin | IT | false |
| IT7 | IT 7 | s7.sfgame.it | 287 | s7_it, s7it |  | origin | IT | false |
| IT8 | IT 8 | s8.sfgame.it | 401 | s8_it, s8it |  | origin | IT | false |
| JP1 | JP 1 | s1.sfgame.jp | 22 | s1_jp, s1jp |  | origin | JP | false |
| MAERWYNN | Maerwynn | maerwynn.sfgame.net | 533 | maerwynn_net, maerwynnnet |  | named | Fusion | true |
| MINIJUEGOS | MINIJUEGOS | minijuegos.sfgame.es | 21 |  |  | origin | ES | false |
| MX1 | MX 1 | s1.sfgame.mx | 50 | s1_mx, s1mx |  | origin | MX | false |
